transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000527,card_00663,2026-01-28T23:11:10Z,pharmacy,True,False,dev_001098,AE,10479
txn_0000528,card_00748,2026-01-01T06:56:28Z,grocery,False,True,dev_003285,IN,26169
txn_0000529,card_00058,2026-01-23T09:11:31Z,pharmacy,True,False,dev_003667,US,13355
txn_0000530,card_00836,2026-01-20T04:08:19Z,online_retail,False,False,dev_001968,GB,11155
txn_0000531,card_00279,2026-01-06T08:15:16Z,electronics,False,False,dev_001238,SG,5014
txn_0000532,card_00595,2026-01-12T22:50:34Z,travel,False,False,dev_000341,IN,8900
txn_0000533,card_00175,2026-01-19T20:48:23Z,grocery,True,True,dev_001844,GB,91876
txn_0000534,card_00293,2026-01-23T09:17:58Z,fuel,True,False,dev_001140,AE,2657
txn_0000535,card_00265,2026-01-30T01:32:51Z,entertainment,False,False,dev_002242,US,18757
txn_0000536,card_00766,2026-01-29T16:42:50Z,atm_withdrawal,False,False,dev_003246,US,23348
txn_0000537,card_00364,2026-01-24T15:49:19Z,atm_withdrawal,False,False,dev_001375,US,17775
txn_0000538,card_00720,2026-01-17T02:51:08Z,grocery,False,False,dev_003344,IN,4499
txn_0000539,card_00739,2026-01-16T23:31:48Z,grocery,True,False,dev_000438,IN,6234
txn_0000540,card_00145,2026-01-21T17:49:35Z,pharmacy,True,False,dev_002456,DE,7820
txn_0000541,card_00789,2026-01-20T08:10:11Z,utilities,False,False,dev_002498,DE,1804
txn_0000542,card_00385,2026-01-20T20:48:21Z,entertainment,False,False,dev_000836,GB,2724
txn_0000543,card_00896,2026-01-05T05:16:32Z,entertainment,False,False,dev_004916,GB,38172
txn_0000544,card_00807,2026-01-23T21:08:13Z,pharmacy,True,False,dev_002600,AE,12599
txn_0000545,card_00402,2026-01-15T16:33:51Z,pharmacy,False,False,dev_002350,SG,17297
txn_0000546,card_00091,2026-01-25T20:48:29Z,fuel,True,False,dev_000582,IN,1692
txn_0000547,card_00627,2026-01-10T09:16:27Z,electronics,True,False,dev_002257,GB,4996
txn_0000548,card_00854,2026-01-24T17:35:20Z,restaurant,True,False,dev_000461,AE,9068
txn_0000549,card_00891,2026-01-29T15:35:51Z,utilities,True,False,dev_004479,US,6218
txn_0000550,card_00640,2026-01-17T12:11:26Z,utilities,True,False,dev_000953,IN,24924
txn_0000551,card_00292,2026-01-20T14:56:55Z,restaurant,True,False,dev_003525,GB,16640
txn_0000552,card_00042,2026-01-21T03:43:56Z,grocery,True,False,dev_004372,SG,53363
txn_0000553,card_00408,2026-01-06T21:17:37Z,electronics,False,False,dev_002934,AE,594
txn_0000554,card_00694,2026-01-25T05:49:49Z,utilities,True,False,dev_000362,SG,1183
txn_0000555,card_00405,2026-01-15T22:46:26Z,fuel,False,False,dev_003989,SG,1135
txn_0000556,card_00198,2026-01-09T16:45:25Z,travel,False,False,dev_004227,SG,1330
txn_0000557,card_00221,2026-01-06T16:25:51Z,electronics,False,True,dev_001147,DE,21384
txn_0000558,card_00791,2026-01-19T11:24:48Z,grocery,False,False,dev_004114,IN,8070
txn_0000559,card_00573,2026-01-30T12:59:46Z,electronics,False,False,dev_004167,GB,9134
txn_0000560,card_00686,2026-01-15T14:57:41Z,travel,False,False,dev_001822,GB,14666
txn_0000561,card_00406,2026-01-18T03:29:10Z,online_retail,False,False,dev_003329,DE,6879
txn_0000562,card_00199,2026-01-24T08:22:16Z,atm_withdrawal,True,True,dev_002305,DE,43716
txn_0000563,card_00102,2026-01-28T17:46:42Z,fuel,True,False,dev_001944,IN,6870
txn_0000564,card_00606,2026-01-24T11:12:57Z,atm_withdrawal,False,False,dev_003400,AE,1447
txn_0000565,card_00759,2026-01-26T21:24:09Z,restaurant,True,False,dev_004202,SG,5903
txn_0000566,card_00194,2026-01-22T15:47:45Z,electronics,True,False,dev_003273,SG,8331
txn_0000567,card_00424,2026-01-17T04:58:56Z,restaurant,False,False,dev_000902,GB,14338
txn_0000568,card_00453,2026-01-17T04:46:59Z,atm_withdrawal,True,False,dev_004052,IN,88607
txn_0000569,card_00007,2026-01-16T16:52:08Z,restaurant,False,False,dev_002659,AE,9843
txn_0000570,card_00626,2026-01-01T18:05:32Z,fuel,True,False,dev_004334,GB,6149
txn_0000571,card_00450,2026-01-12T07:02:31Z,fuel,False,False,dev_004313,US,4128
txn_0000572,card_00444,2026-01-28T10:19:09Z,fuel,False,False,dev_001625,US,4394
txn_0000573,card_00039,2026-01-24T00:58:12Z,utilities,True,False,dev_003563,US,3551
txn_0000574,card_00860,2026-01-05T08:45:52Z,utilities,False,False,dev_000700,AE,8355
txn_0000575,card_00071,2026-01-18T22:42:52Z,pharmacy,True,False,dev_004147,DE,1738
txn_0000576,card_00560,2026-01-25T21:52:23Z,grocery,True,False,dev_000220,AE,36262
txn_0000577,card_00509,2026-01-22T08:49:37Z,pharmacy,False,False,dev_000164,AE,2318
txn_0000578,card_00491,2026-01-08T13:55:34Z,fuel,True,False,dev_001022,DE,28321
txn_0000579,card_00817,2026-01-29T13:54:19Z,electronics,True,False,dev_000497,AE,9916
txn_0000580,card_00606,2026-01-01T02:37:35Z,pharmacy,False,False,dev_000426,DE,26326
txn_0000581,card_00759,2026-01-22T03:15:42Z,utilities,True,False,dev_000296,DE,22662
txn_0000582,card_00702,2026-01-05T15:03:50Z,pharmacy,True,True,dev_001812,DE,95217
txn_0000583,card_00559,2026-01-05T10:52:48Z,fuel,False,False,dev_004530,DE,9481
txn_0000584,card_00853,2026-01-26T00:35:22Z,travel,True,False,dev_004864,US,27491
txn_0000585,card_00629,2026-01-01T21:25:49Z,grocery,True,False,dev_003749,US,981
txn_0000586,card_00293,2026-01-30T16:14:52Z,pharmacy,True,False,dev_000141,AE,7279
txn_0000587,card_00050,2026-01-02T12:13:01Z,pharmacy,False,False,dev_001564,US,1399
txn_0000588,card_00852,2026-01-24T22:27:23Z,electronics,True,False,dev_003837,DE,17004
txn_0000589,card_00155,2026-01-15T01:46:47Z,pharmacy,True,True,dev_001683,SG,19528
txn_0000590,card_00015,2026-01-01T10:37:43Z,grocery,True,False,dev_001926,AE,4537
txn_0000591,card_00473,2026-01-29T12:17:08Z,online_retail,True,False,dev_002253,DE,23381
txn_0000592,card_00057,2026-01-22T03:59:42Z,utilities,True,False,dev_000963,GB,22569
txn_0000593,card_00667,2026-01-05T03:29:34Z,travel,True,False,dev_004286,GB,13201
txn_0000594,card_00495,2026-01-01T14:43:49Z,fuel,True,False,dev_003706,US,5132
txn_0000595,card_00022,2026-01-22T21:46:50Z,grocery,True,False,dev_002860,DE,3968
txn_0000596,card_00586,2026-01-30T08:33:18Z,fuel,True,False,dev_003357,IN,16526
txn_0000597,card_00726,2026-01-22T04:33:24Z,atm_withdrawal,False,False,dev_001992,IN,9031
txn_0000598,card_00371,2026-01-27T02:04:09Z,travel,False,False,dev_003915,AE,19180
txn_0000599,card_00702,2026-01-12T08:35:59Z,pharmacy,True,False,dev_001949,IN,22550
txn_0000600,card_00474,2026-01-27T06:42:34Z,electronics,False,False,dev_000617,DE,2295
txn_0000601,card_00606,2026-01-02T13:04:43Z,utilities,False,False,dev_000909,AE,4446
txn_0000602,card_00208,2026-01-25T01:40:21Z,fuel,True,False,dev_001168,GB,18967
txn_0000603,card_00356,2026-01-25T08:06:09Z,utilities,True,False,dev_002397,US,1030
txn_0000604,card_00209,2026-01-24T20:59:48Z,electronics,False,False,dev_001656,AE,7002
txn_0000605,card_00176,2026-01-27T18:27:59Z,restaurant,False,False,dev_000090,DE,7008
txn_0000606,card_00136,2026-01-09T23:31:41Z,restaurant,False,False,dev_003235,GB,2947
txn_0000607,card_00270,2026-01-01T07:39:54Z,restaurant,False,False,dev_001992,US,11056
txn_0000608,card_00473,2026-01-06T01:22:46Z,atm_withdrawal,True,False,dev_000400,GB,6229
txn_0000609,card_00426,2026-01-25T21:27:49Z,restaurant,False,False,dev_002362,GB,556
txn_0000610,card_00319,2026-01-22T19:01:14Z,electronics,False,True,dev_004445,AE,59027
txn_0000611,card_00027,2026-01-27T07:01:36Z,fuel,True,False,dev_004882,GB,5903
txn_0000612,card_00427,2026-01-03T09:27:04Z,electronics,True,False,dev_001407,SG,8638
txn_0000613,card_00187,2026-01-01T01:23:31Z,restaurant,False,False,dev_003107,IN,2478
txn_0000614,card_00608,2026-01-14T07:12:11Z,electronics,True,False,dev_000543,US,21659
txn_0000615,card_00026,2026-01-03T18:40:17Z,entertainment,False,False,dev_001542,GB,6797
txn_0000616,card_00573,2026-01-10T15:51:36Z,online_retail,False,False,dev_002967,SG,8223
txn_0000617,card_00256,2026-01-10T23:58:03Z,entertainment,False,False,dev_000012,DE,8089
txn_0000618,card_00304,2026-01-24T20:08:51Z,utilities,True,False,dev_001682,SG,5111
txn_0000619,card_00515,2026-01-02T09:06:30Z,grocery,False,False,dev_004436,AE,3000
txn_0000620,card_00762,2026-01-29T18:47:15Z,utilities,False,True,dev_001046,US,4577
txn_0000621,card_00623,2026-01-28T09:12:04Z,electronics,False,False,dev_002243,DE,9214
txn_0000622,card_00836,2026-01-21T22:48:06Z,pharmacy,True,False,dev_000152,IN,3201
txn_0000623,card_00630,2026-01-15T21:48:56Z,travel,False,False,dev_004687,DE,4237
txn_0000624,card_00082,2026-01-11T10:19:27Z,pharmacy,True,False,dev_002721,AE,6946
